종목코드,종목명
9520,포스코엠텍
9540,한국조선해양
9580,무림P&P
9620,삼보산업
9680,모토닉
9730,코센
9770,삼정펄프
9780,엠에스씨
9810,플레이그램
9830,한화솔루션
9900,명신산업
9970,영원무역홀딩스
10040,한국내화
10050,우리종금
10060,OCI
10100,한국프랜지
10120,LS ELECTRIC
10130,고려아연
10140,삼성중공업
10170,대한광통신
10240,흥국
10280,쌍용정보통신
10400,우진아이엔에스
10420,한솔PNS
10470,오리콤
10580,지코
10600,웰바이오텍
10620,현대미포조선
10640,진양폴리
10660,화천기계
10690,화신
10770,평화홀딩스
10780,아이에스동서
10820,퍼스텍
10950,S-Oil
10960,삼호개발
11000,진원생명과학
11040,경동제약
11070,LG이노텍
11080,형지I&C
11090,에넥스
11150,CJ씨푸드
11170,롯데케미칼
11200,HMM
11210,현대위아
11230,삼화전자
11280,태림포장
11300,성안
11320,유니크
11330,유니켐
11370,서한
11390,부산산업
11420,갤럭시아에스엠
11500,한농화성
11560,세보엠이씨
11690,와이투솔루션
11700,한신기계
11760,현대코퍼레이션
11780,금호석유
11790,SKC
11810,STX
11930,신성이엔지
12030,DB
12160,영흥
12170,아센디오
12200,계양전기
12280,영화금속
12320,경동인베스트
12330,현대모비스
12340,뉴인텍
12450,한화에어로스페이스
12510,더존비즈온
12600,센트럴인사이트
12610,경인양행
12620,원일특강
12630,HDC
12690,모나리자
12700,리드코프
12750,에스원
12790,신일제약
12800,대창
12860,모베이스전자
13000,세우글로벌
13030,하이록코리아
13120,동원개발
13310,아진산업
13360,일성건설
13520,화승코퍼레이션
13570,디와이
13580,계룡건설
13700,까뮤이앤씨
13720,CBI
13810,스페코
13870,지엠비코리아
13890,지누스
13990,아가방컴퍼니
14100,메디앙스
14130,한익스프레스
14160,대영포장
14190,원익큐브
14200,광림
14280,금강공업
14440,영보화학
14470,부방
14530,극동유화
14570,고려제약
14580,태경비케이
14620,성광벤드
14680,한솔케미칼
14710,사조씨푸드
14790,한라
14820,동원시스템즈
14830,유니드
14910,성문전자
14940,오리엔탈정공
14970,삼륭물산
14990,인디에프
15020,이스타코
15230,대창단조
15260,에이엔피
15360,예스코홀딩스
15540,쎌마테라퓨틱스
15590,큐로
15710,코콤
15750,성우하이텍
15760,한국전력
15860,일진홀딩스
15890,태경산업
16090,대현
16100,리더스코스메틱
16250,SGC이테크건설
16360,삼성증권
16380,KG동부제철
16450,한세예스24홀딩스
16580,환인제약
16590,신대양제지
16600,큐캐피탈
16610,DB금융투자
16670,인피니티엔티
16710,대성홀딩스
16740,두올
16790,현대사료
16800,퍼시스
16880,웅진
16920,카스
17000,신원종합개발
17040,광명전기
17180,명문제약
17250,인터엠
17370,우신시스템
17390,서울가스
17480,삼현철강
17510,세명전기
17550,수산중공업
17650,대림제지
17670,SK텔레콤
17800,현대엘리베이
17810,풀무원
17890,한국알콜
17900,광전자
17940,E1
17960,한국카본
18000,유니슨
18120,진로발효
18250,애경산업
18260,삼성에스디에스
18290,브이티지엠피
18310,삼목에스폼
18470,조일알미늄
18500,동원금속
18620,우진비앤지
18670,SK가스
18680,서울제약
18700,바른손
18880,한온시스템
19010,베뉴지
19170,신풍제약
19180,티에이치엔
19210,와이지-원
19440,세아특수강
19490,하이트론
19540,일지테크
19550,SBI인베스트먼트
19570,리더스 기술투자
19590,엠벤처투자
19660,글로본
19680,대교
19770,서연탑메탈
19990,에너토크
20000,한섬
20120,키다리스튜디오
20150,일진머티리얼즈
20180,대신정보통신
20400,대동금속
20560,아시아나항공
20710,시공테크
20760,일진디스플
21040,대호특수강
21050,서원
21080,에이티넘인베스트
21240,코웨이
21320,KCC건설
21650,한국큐빅
21820,세원정공
21880,메이슨캐피탈
22100,포스코 ICT
22220,정산애강
23000,삼원강재
23150,MH에탄올
23160,태광
23350,한국종합기술
23410,유진기업
23440,제일제강
23450,동남합성
23460,CNH
23530,롯데쇼핑
23590,다우기술
23600,삼보판지
23760,한국캐피탈
23770,플레이위드
23790,동일철강
23800,인지컨트롤스
23810,인팩
23900,풍국주정
23910,대한약품
23960,에쓰씨엔지니어링
24060,흥구석유
24070,WISCOM
24090,디씨엠
24110,기업은행
24120,KB오토시스
24720,한국콜마홀딩스
24740,한일단조
24800,유성티엔에스
24810,이화전기
24830,세원물산
24840,KBI메탈
24850,피에스엠씨
24880,케이피에프
24890,대원화성
24900,덕양산업
24910,경창산업
24940,PN풍년
24950,삼천리자전거
25000,KPX케미칼
25320,시노펙스
25440,대성엘텍
25530,SJM홀딩스
25540,한국단자
25550,한국선재
25560,미래산업
25620,제이준코스메틱
25750,한솔홈데코
25770,한국정보통신
25820,이구산업
25860,남해화학
25870,신라에스지
25880,케이씨피드
25890,한국주강
25900,동화기업
25950,동신건설
25980,아난티
26040,제이에스티나
26150,특수건설
26890,스틱인베스트먼트
26910,광진실업
26940,부국철강
26960,동서
27040,서울전자통신
27050,코리아나
27360,아주IB투자
27410,BGF
27580,상보
27710,팜스토리
27740,마니커
27830,대성창투
27970,세하
28050,삼성엔지니어링
28080,휴맥스홀딩스
28100,동아지질
28260,삼성물산
28300,HLB
28670,팬오션
29460,케이씨
29480,릭스솔루션
29530,신도리코
29780,삼성카드
29960,코엔텍
30000,제일기획
30190,NICE평가정보
30200,KT
30210,KTB투자증권
30350,드래곤플라이
30520,한글과컴퓨터
30530,원익홀딩스
30610,교보증권
30720,동원수산
30790,비케이탑스
30960,양지사
31310,아이즈비전
31330,에스에이엠티
31430,신세계인터내셔날
31440,신세계푸드
31510,오스템
31820,콤텍시스템
31860,엔에스엔
31980,피에스케이홀딩스
32080,아즈텍WB
32190,다우데이타
32280,삼일
32300,한국파마
32350,롯데관광개발
32500,케이엠더블유
32540,TJ미디어
32560,황금에스티
32580,피델릭스
32620,유비케어
32640,LG유플러스
32680,소프트센
32750,삼진
32790,BNGT
32800,판타지오
32820,우리기술
32830,삼성생명
32850,비트컴퓨터
32860,휴먼엔
32940,원익
32960,동일기연
32980,바이온
33050,제이엠아이
33100,제룡전기
33130,디지틀조선
33160,엠케이전자
33170,시그네틱스
33180,KH 필룩스
33200,모아텍
33230,인성정보
33240,자화전자
33250,체시스
33270,유나이티드제약
33290,코웰패션
33310,엠투엔
33320,제이씨현시스템
33340,좋은사람들
33500,동성화인텍
33530,세종공업
33540,파라텍
33560,블루콤
33640,네패스
33780,KT&G
33790,스카이문스테크놀로지
33830,티비씨
33920,무학
34020,두산중공업
34120,SBS
34220,LG디스플레이
34230,파라다이스
34300,신세계건설
34310,NICE
34590,인천도시가스
34730,SK
34810,해성산업
34830,한국토지신탁
34940,조아제약
34950,한국기업평가
35000,지투알
35080,인터파크
35150,백산
35200,프럼파스트
35250,강원랜드
35290,골드앤에스
35420,NAVER
35460,기산텔레콤
35510,신세계 I&C
35600,KG이니시스
35610,솔본
35620,바른손이앤에이
35720,카카오
35760,CJ ENM
35810,이지홀딩스
35890,서희건설
35900,JYP Ent.
36000,예림당
36010,아비코전자
36030,케이티알파
36090,위지트
36120,SCI평가정보
36170,클라우드에어
36180,지더블유바이텍
36190,금화피에스시
36200,유니셈
36420,제이콘텐트리
36460,한국가스공사
36480,대성미생물
36530,SNT홀딩스
36540,SFA반도체
36560,영풍정밀
36570,엔씨소프트
36580,팜스코
36620,감성코퍼레이션
36630,세종텔레콤
36640,HRS
36670,KCI
36690,코맥스
36710,심텍홀딩스
36800,나이스정보통신
36810,에프에스티
36830,솔브레인홀딩스
36890,진성티이씨
36930,주성엔지니어링
37030,파워넷
37070,파세코
37230,한국팩키지
37270,YG PLUS
37330,인지디스플레
37350,성도이엔지
37370,EG
37400,우리조명
37440,희림
37460,삼지전자
37560,LG헬로비전
37710,광주신세계
37760,쎄니트
37950,엘컴텍
38010,제일테크노스
38060,루멘스
38070,서린바이오
38110,에코플라스틱
38290,마크로젠
38340,UCI
38390,레드캡투어
38460,바이오스마트
38500,삼표시멘트
38530,골드퍼시픽
38540,상상인
38620,위즈코프
38680,에스넷
38870,에코바이오
38880,아이에이
38950,파인디지털
39010,현대에이치티
39020,이건홀딩스
39030,이오테크닉스
39130,하나투어
39200,오스코텍
39240,경남스틸
39290,인포뱅크
39310,세중
39340,한국경제TV
39420,케이엘넷
39440,에스티아이
39490,키움증권
39560,다산네트웍스
39570,HDC랩스
39610,화성밸브
39670,스포츠서울
39740,한국정보공학
39830,오로라
39840,디오
39860,나노엔텍
39980,리노스
40160,누리플렉스
40300,YTN
40350,큐로컴
40420,정상제이엘에스
40610,SG&G
40910,아이씨디
41020,폴라리스오피스
41140,넥슨지티
41190,우리기술투자
41440,현대에버다임
41460,한국전자인증
41510,에스엠
41520,이라이콤
41590,젬백스지오
41650,상신브레이크
41830,인바디
41910,에스텍파마
41920,메디아나
41930,동아화성
41960,코미팜
42000,카페24
42040,케이피엠테크
42110,에스씨디
42370,비츠로테크
42420,네오위즈홀딩스
42500,링네트
42510,라온시큐어
42520,한스바이오메드
42600,새로닉스
42660,대우조선해양
42670,현대두산인프라코어
42700,한미반도체
42940,상지카일룸
43090,한창바이오텍
43100,솔고바이오
43150,바텍
43200,파루
43220,에이치엘비파워
43260,성호전자
43340,에쎈테크
43360,디지아이
43370,피에이치에이
43590,크로바하이텍
43610,지니뮤직
43650,국순당
43710,서울리거
43910,자연과환경
44060,조광ILI
44180,KD
44340,위닉스
44380,주연테크
44450,KSS해운
44480,블루베리 NFT
44490,태웅
44780,에이치케이
44820,코스맥스비티아이
44960,이글벳
45060,오공
45100,한양이엔지
45300,성우테크론
45340,토탈소프트
45390,대아티아이
45510,정원엔시스
45520,크린앤사이언스
45660,에이텍
45970,코아시아
46070,코다코
46110,한일네트웍스
46120,오르비텍
46140,SBS콘텐츠허브
46210,파나진
46310,백금T&A
46390,삼화네트웍스
46440,KG모빌리언스
46890,서울반도체
46940,우원개발
46970,우리로
47040,대우건설
47050,포스코인터내셔널
47080,한빛소프트
47310,파워로직스
47400,유니온머티리얼
47560,이스트소프트
47770,코데즈컴바인
47810,한국항공우주
47820,초록뱀미디어
47920,HLB제약
48260,오스템임플란트
48410,현대바이오
48430,유라테크
48470,대동스틸
48530,인트론바이오
48550,SM C&C
48770,TPC
48830,엔피케이
48870,시너지이노베이션
48910,대원미디어
49070,인탑스
49080,기가레인
49120,파인디앤씨
49180,셀루메드
49430,코메론
49470,SGA
49480,오픈베이스
49520,유아이엘
49550,잉크테크
49630,재영솔루텍
49720,고려신용정보
49770,동원F&B
49800,우진플라임
49830,승일
49950,미래컴퍼니
49960,쎌바이오텍
50090,휘닉스소재
50110,캠시스
50120,ES큐브
50320,아래스
50540,한국코퍼레이션
50760,에스폴리텍
50860,아세아텍
50890,쏠리드
50960,수산아이앤티
51160,지어소프트
51360,토비스
51370,인터플렉스
51380,피씨디렉트
51390,YW
51490,나라엠앤디
51500,CJ프레시웨이
51600,한전KPS
51630,진양화학
51780,큐로홀딩스
51900,LG생활건강
51910,LG화학
51980,중앙디앤엠
52020,에스티큐브
52190,세영디앤씨
52220,iMBC
52260,현대바이오랜드
52300,초록뱀컴퍼니
52330,코텍
52400,코나아이
52420,오성첨단소재
52460,아이크래프트
52600,한네트
52670,제일바이오
52690,한전기술
52710,아모텍
52770,아이톡시
52790,액토즈소프트
52860,아이앤씨
52900,KMH하이텍
53030,바이넥스
53050,지에스이
53060,세동
53080,원방테크
53110,소리바다
53160,프리엠스
53210,스카이라이프
53260,금강철강
53270,구영테크
53280,예스24
53290,NE능률
53300,한국정보인증
53350,이니텍
53450,세코닉스
53580,웹케시
53590,한국테크놀로지
53610,프로텍
53620,태양
53660,현진소재
53690,한미글로벌
53700,삼보모터스
53800,안랩
53950,경남제약
53980,오상자이엘
54040,한국컴퓨터
54050,농우바이오
54090,삼진엘앤디
54180,메디콕스
54210,이랜텍
54220,비츠로시스
54300,팬스타엔터프라이즈
54410,케이피티유
54450,텔레칩스
54540,삼영엠텍
54620,APS홀딩스
54630,에이디칩스
54670,대한뉴팜
54780,키이스트
54800,아이디스홀딩스
54920,한컴위드
54930,유신
54940,엑사이엔씨
54950,제이브이엠
55490,테이팩스
55550,신한지주
56000,COWON
56080,유진로봇
56090,유앤아이
56190,에스에프에이
56360,코위버
56700,신화인터텍
56730,CNT85
57030,YBM넷
57050,현대홈쇼핑
57540,옴니시스템
57680,티사이언티픽
57880,피에이치씨
58110,멕아이씨에스
58220,아리온
58400,KNN
58420,제이웨이
58430,포스코강판
58450,일야
58470,리노공업
58530,파나케이아
58610,에스피지
58630,엠게임
58650,세아홀딩스
58730,다스코
58820,CMG제약
58850,KTcs
58860,KTis
58970,엠로
59090,미코
59100,아이컴포넌트
59120,아진엑스텍
59210,메타바이오메드
59270,해성티피씨
60150,인선이엔티
60230,얍엑스
60240,룽투코리아
60250,NHN한국사이버결제
60260,뉴보텍
60280,큐렉소
60300,레드로버
60310,3S
60370,KT서브마린
60380,동양에스텍
60480,국일신동
60540,에스에이티
60560,홈센타홀딩스
60570,드림어스컴퍼니
60590,씨티씨바이오
60720,KH바텍
60850,영림원소프트랩
60900,대한그린파워
60980,한라홀딩스
61040,알에프텍
61250,화일약품
61970,엘비세미콘
62860,티엘아이
62970,피피아이
63080,컴투스홀딩스
63160,종근당바이오
63170,서울옥션
63440,SM Life Design
63570,한국전자금융
63760,이엘피
64090,에프앤리퍼블릭
64240,홈캐스트
64260,다날
64290,인텍플러스
64350,현대로템
64480,브리지텍
64510,유네코
64520,바른전자
64550,바이오니아
64760,티씨케이
64800,젬백스링크
64820,케이프
64850,에프앤가이드
64960,SNT모티브
65060,지엔코
65130,탑엔지니어링
65150,엠피대산
65170,넥스트BT
65350,신성델타테크
65370,위세아이텍
65420,에스아이리소스
65440,이루온
65450,빅텍
65500,오리엔트정공
65510,휴비츠
65530,와이어블
65560,녹원씨엔아이
65570,삼영이엔씨
65650,메디프론
65660,안트로젠
65680,우주일렉트로
65690,파커스
65710,서호전기
65770,CS
65950,웰크론
66110,한프
66130,하츠
66310,큐에스아이
66360,체리부로
66410,버킷스튜디오
66430,와이오엠
66570,LG전자
66590,우수AMS
66620,국보디자인
66670,디스플레이텍
66700,테라젠이텍스
66790,씨씨에스
66900,디에이피
66910,손오공
66970,엘앤에프
66980,이엔코퍼레이션
67000,조이시티
67010,이씨에스
67080,대화제약
67160,아프리카TV
67170,오텍
67280,멀티캠퍼스
67290,JW신약
67310,하나마이크론
67390,아스트
67570,엔브이에이치코리아
67630,HLB생명과학
67730,로지시스
67770,세진티에스
67830,세이브존I&C
67900,와이엔텍
67920,이글루시큐리티
67990,도이치모터스
68050,팬엔터테인먼트
68240,다원시스
68270,셀트리온
68290,삼성출판사
68330,일신바이오
68400,SK렌터카
68760,셀트리온제약
68790,DMS
68930,디지털대성
68940,아이씨케이
69080,웹젠
69110,코스온
69140,누리플랜
69260,휴켐스
69330,유아이디
69410,엔텔스
69460,대호에이엘
69510,에스텍
69540,라이트론
69620,대웅제약
69640,한세엠케이
69730,DSR제강
69920,아이에스이커머스
69960,현대백화점
70300,엑스큐어
70590,한솔인티큐브
70960,용평리조트
71050,한국금융지주
71090,하이스틸
71200,인피니트헬스케어
71280,로체시스템즈
71320,지역난방공사
71460,위니아딤채
71670,에이테크솔루션
71840,롯데하이마트
71850,캐스텍코리아
71950,코아스
71970,STX중공업
72020,중앙백신
72130,유엔젤
72470,우리산업홀딩스
72520,제넨바이오
72710,농심홀딩스
72770,율호
72870,메가스터디
72950,빛샘전자
72990,에이치시티
73010,케이에스피
73110,엘엠에스
73190,듀오백
73240,금호타이어
73490,이노와이어리스
73540,에프알텍
73560,우리손에프앤지
73570,WI
73640,테라사이언스
74430,아미노로직스
74600,원익QnC
74610,이엔플러스
75130,플랜티넷
75180,새론오토모티브
75580,세진중공업
75970,동국알앤에스
76080,웰크론한텍
76610,해성옵틱스
77360,덕산하이메탈
77500,유니퀘스트
77970,STX엔진
78000,텔코웨어
78020,이베스트투자증권
78070,유비쿼스홀딩스
78130,국일제지
78140,대봉엘에스
78150,HB테크놀러지
78160,메디포스트
78340,컴투스
78350,한양디지텍
78520,에이블씨엔씨
78590,디아크
78600,대주전자재료
78650,지나인제약
78860,아이오케이
78890,가온미디어
78930,GS
78940,코드네이처
79000,와토스코리아
79160,CJ CGV
79170,한창산업
79190,EMW
79370,제우스
79430,현대리바트
79550,LIG넥스원
79650,서산
79810,디이엔티
79940,가비아
79950,인베니아
79960,동양이엔피
79970,투비소프트
79980,휴비스
80000,에스엔유
80010,이상네트웍스
80160,모두투어
80220,제주반도체
80420,모다이노칩
80470,성창오토텍
80520,오디텍
80530,코디
80580,오킨스전자
80720,한국유니온제약
81000,일진다이아
81150,티플랙스
81580,성우전자
81660,휠라홀딩스
82210,옵트론텍
82270,젬백스
82640,동양생명
82660,코스나인
82740,HSD엔진
82800,비보존 헬스케어
82850,우리바이오
82920,비츠로셀
83310,엘오티베큠
83420,그린케미칼
83450,GST
83470,이엠앤아이
83500,에프엔에스테크
83550,케이엠
83640,인콘
83650,비에이치아이
83660,CSA 코스믹
83790,크리스탈지노믹스
83930,아바코
84010,대한제강
84110,휴온스글로벌
84180,수성이노베이션
84370,유진테크
84650,랩지노믹스
84670,동양고속
84680,이월드
84690,대상홀딩스
84730,팅크웨어
84850,아이티엠반도체
84870,TBH글로벌
84990,헬릭스미스
85310,엔케이
85370,루트로닉
85620,미래에셋생명
85660,차바이오텍
85670,뉴프렉스
85810,알티캐스트
85910,네오티스
86040,바이오톡스텍
86060,진바이오텍
86280,현대글로비스
86390,유니테스트
86450,동국제약
86520,에코프로
86670,비엠티
86710,선진뷰티사이언스
86790,하나금융지주
86820,바이오솔루션
86890,이수앱지스
86900,메디톡스
86960,한컴MDS
86980,쇼박스
87010,펩트론
87260,모바일어플라이언스
87600,픽셀플러스
88130,동아엘텍
88260,이리츠코크렙
88290,이원컴포텍
88350,한화생명
88390,이녹스
88790,진도
88800,에이스테크
88910,동우팜투테이블
88980,맥쿼리인프라
89010,켐트로닉스
89030,테크윙
89140,넥스턴바이오
89150,케이씨티
89230,THE E&M
89470,HDC현대EP
89530,에이티세미콘
89590,제주항공
89600,나스미디어
89790,제이티
89850,유비벨록스
89860,롯데렌탈
89890,코세스
89970,에이피티씨
89980,상아프론테크
90080,평화산업
90150,아이윈
90350,노루페인트
90360,로보스타
90370,메타랩스
90410,덕신하우징
90430,아모레퍼시픽
90460,비에이치
90470,제이스텍
90710,휴림로봇
90740,연이비앤티
90850,현대이지웰
91090,세원이앤씨
91120,이엠텍
91340,S&K폴리텍
91440,텔레필드
91580,상신이디피
91590,남화토건
91700,파트론
91810,티웨이항공
91970,나노캠텍
91990,셀트리온헬스케어
92040,아미코젠
92070,디엔에프
92130,이크레더블
92190,서울바이오시스
92200,디아이씨
92220,KEC
92230,KPX홀딩스
92300,현우산업
92440,기신정기
92460,한라IMS
92600,앤씨앤
92730,네오팜
92780,동양피스톤
92870,엑시콘
93050,LF
93190,빅솔론
93230,이아이디
93240,형지엘리트
93320,케이아이엔엑스
93370,후성
93380,풍강
93520,매커스
93640,다믈멀티미디어
93920,서원인텍
94170,동운아나텍
94280,효성ITX
94360,칩스앤미디어
94480,갤럭시아머니트리
94820,일진파워
94840,슈프리마에이치큐
94850,참좋은여행
94860,네오리진
94940,푸른기술
94970,제이엠티
95190,이엠코리아
95270,웨이브일렉트로
95340,ISC
95500,미래나노텍
95570,AJ네트웍스
95610,테스
95660,네오위즈
95700,제넥신
95720,웅진씽크빅
95910,에스에너지
96040,이트론
96240,청담러닝
96350,대창솔루션
96530,씨젠
96610,알에프세미
96630,에스코넥
96640,멜파스
96690,에이루트
96760,JW홀딩스
96770,SK이노베이션
96870,엘디티
97230,HJ중공업
97520,엠씨넥스
97780,에스맥
97800,윈팩
97870,효성오앤비
97950,CJ제일제당
98120,마이크로컨텍솔
98460,고영
98660,에스티오
99190,아이센스
99220,SDN
99320,쎄트렉아이
99390,브레인즈컴퍼니
99410,동방선기
99430,바이오플러스
99440,스맥
99520,ITX-AI
99750,이지케어텍
100030,모바일리더
100090,삼강엠앤티
100120,뷰웍스
100130,동국S&C
100220,비상교육
100250,진양홀딩스
100590,머큐리
100660,서암기계공업
100700,세운메디칼
100790,미래에셋벤처투자
100840,SNT에너지
101000,상상인인더스트리
101140,인바이오젠
101160,월덱스
101170,우림피티에스
101240,씨큐브
101330,모베이스
101360,이엔드디
101390,아이엠
101400,엔시트론
101490,에스앤에스텍
101530,해태제과식품
101670,코리아에스이
101680,한국정밀기계
101730,위메이드맥스
101930,인화정공
102120,어보브반도체
102260,동성케미컬
102280,쌍방울
102370,케이옥션
102460,이연제약
102710,이엔에프테크놀로지
102940,코오롱생명과학
103140,풍산
103230,에스앤더블류
103590,일진전기
103840,우양
104040,대성파인텍
104200,NHN벅스
104460,디와이피엔에프
104480,티케이케미칼
104540,코렌텍
104620,노랑풍선
104700,한국철강
104830,원익머트리얼즈
105330,케이엔더블유
105550,트루윈
105560,KB금융
105630,한세실업
105740,디케이락
105840,우진
106080,하이소닉
106190,하이텍팜
106240,파인테크닉스
106520,노블엠앤비
107590,미원홀딩스
108230,톱텍
108320,LX세미콘
108380,대양전기공업
108490,로보티즈
108670,LX하우시스
108860,셀바스AI
109070,컨버즈
109080,옵티시스
109610,에스와이
109740,디에스케이
109820,진매트릭스
109860,동일금속
109960,에이프로젠 H&G
110020,전진바이오팜
110790,크리스에프앤씨
110990,디아이티
111110,호전실업
111710,남화산업
111770,영원무역
